帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/03,14:29:30,"1/4（四）
鐵路大排 1箱
6公斤裝鯖魚（100-130）中1箱
白帶魚3/4規格 1箱"
Account,俐均,2024/01/03,14:30:07,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/11,15:33:47,"1/12（五）
鐵路大排 1箱
6公斤裝鯖魚（100-130）中1箱
黑輪條 切片 1包
"
Account,林鈺婷,2024/01/11,15:33:54,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/16,15:16:27,請問這些肉的包裝重量？
Account,林鈺婷,2024/01/16,15:18:16,都是一公斤一包的喔
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/16,15:22:51,"1/17（三）
白帶魚3/4規格 1箱
哈克魚1箱120/150
白花菜 散 1箱
豬肉片 1公斤
豬五花 1公斤
"
Account,林鈺婷,2024/01/16,15:23:04,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/17,14:02:42,"1/18（四）
鐵路大排 1箱
烏魚1箱（尺寸有先跟今天的司機先生說了）"
Account,俐均,2024/01/17,14:03:46,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/22,08:02:23,"1/22（一）
白花菜 散 1箱
煙燻豬頭皮 1包"
Account,自動回應訊息,2024/01/22,08:02:23,貼圖已傳送
Account,自動回應訊息,2024/01/22,08:02:23,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/22,14:40:16,"1/23（二）
6公斤裝鯖魚（100-130）中1箱"
Account,林鈺婷,2024/01/22,14:51:20,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/24,16:40:25,"12/25（四）
烏魚切塊5K（少剌130/160)1 箱"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/24,16:41:21,上面日期更正為1/25
Account,俐均,2024/01/24,16:42:56,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/24,17:53:40,"1/25（四）追加
白花菜 散 1箱"
Account,俐均,2024/01/24,17:54:43,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/25,14:25:56,"1/26（五）
鐵路大排 1箱"
Account,俐均,2024/01/25,14:27:48,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/28,19:42:46,"1/29（一）
6公斤裝鯖魚（100-130）中1箱"
Account,自動回應訊息,2024/01/28,19:42:47,貼圖已傳送
Account,自動回應訊息,2024/01/28,19:42:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/30,14:16:31,"1/31（三）
鐵路大排 1箱"
Account,俐均,2024/01/30,14:20:56,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/31,16:17:34,"2/1（四）
烏魚切塊5K（少剌130/160)1 箱
白帶魚3/4規格 1箱"
Account,俐均,2024/01/31,16:18:54,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/01/31,16:49:04,"2/1（四）追加
6公斤裝鯖魚（100-130）中1箱"
Account,俐均,2024/01/31,16:50:28,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/02/04,16:06:38,"2/5（一）
烏魚切塊5K（少剌130/160)1 箱"
Account,自動回應訊息,2024/02/04,16:06:39,貼圖已傳送
Account,自動回應訊息,2024/02/04,16:06:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/02/06,14:20:44,"2/7（三）
鐵路大排 1箱
散裝 白花菜 2箱"
Account,林鈺婷,2024/02/06,14:25:41,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/02/14,14:21:21,"2/15（四）
一.哈克魚1箱120/150
二.6公斤裝鯖魚（100-130）中1箱
三.烏魚切塊5K（少剌130/160)1 箱"
Account,林鈺婷,2024/02/14,16:01:56,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/02/15,18:18:07,"2/16（五）
鐵路大排 1箱
白帶魚3/4規格 1箱"
Account,自動回應訊息,2024/02/15,18:18:08,貼圖已傳送
Account,自動回應訊息,2024/02/15,18:18:08,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/02/18,16:08:39,"2/19（一）追加
6公斤裝鯖魚（100-130）中1箱"
Account,自動回應訊息,2024/02/18,16:08:39,貼圖已傳送
Account,自動回應訊息,2024/02/18,16:08:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/02/22,16:40:30,"2/23（五）
白帶魚3/4規格 1箱
烏魚切塊5K（少剌130/160)1 箱"
Account,林鈺婷,2024/02/22,16:41:08,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/02/25,15:22:31,"2/26（一）
6公斤裝鯖魚（100-130）中1箱"
Account,自動回應訊息,2024/02/25,15:22:31,貼圖已傳送
Account,自動回應訊息,2024/02/25,15:22:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/02/25,18:55:41,"2/26（一）追加
鐵路大排 1箱"
Account,自動回應訊息,2024/02/25,18:55:42,貼圖已傳送
Account,自動回應訊息,2024/02/25,18:55:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/03,14:49:20,"3/4（一）
鐵路大排 1箱
禾榮柳葉魚L 1箱"
Account,自動回應訊息,2024/03/03,14:49:21,貼圖已傳送
Account,自動回應訊息,2024/03/03,14:49:21,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/04,14:24:36,"3/5 (二)
一.哈克魚1箱120/150
二.6公斤裝鯖魚（100-130）中1箱
三.煙燻豬頭皮 1包"
Account,俐均,2024/03/04,14:25:45,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/10,18:45:53,"3/11（一）
鐵路大排 1箱
白帶魚3/4規格 1箱
6公斤裝鯖魚（100-130）中1箱"
Account,自動回應訊息,2024/03/10,18:45:53,貼圖已傳送
Account,自動回應訊息,2024/03/10,18:45:53,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/11,14:07:14,"3/12（二）
黑輪條切片 1包
散裝白花菜 2箱"
Account,俐均,2024/03/11,14:12:39,貼圖已傳送
Account,林鈺婷,2024/03/11,15:00:43,照片已傳送
Account,林鈺婷,2024/03/11,15:00:44,照片已傳送
Account,林鈺婷,2024/03/11,15:01:02,老闆您好~請問黑輪是要左邊長條的還是右邊圓的
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/11,15:06:04,圓的謝謝
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/11,15:06:13,切
Account,俐均,2024/03/11,15:44:48,貼圖已傳送
Account,王振華,2024/03/12,01:27:18,老闆娘好 哈克魚120／150的目前還是缺貨
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/17,19:45:21,"3/18（一）
6公斤裝鯖魚（100-130）中1箱"
Account,自動回應訊息,2024/03/17,19:45:21,貼圖已傳送
Account,自動回應訊息,2024/03/17,19:45:21,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/19,15:01:26,"3/20（三）
鐵路大排1箱
白帶魚3/4規格 1箱"
Account,俐均,2024/03/19,15:02:13,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/21,21:31:34,"3/22（五）
6公斤裝鯖魚（100-130）中1箱"
Account,自動回應訊息,2024/03/21,21:31:35,貼圖已傳送
Account,自動回應訊息,2024/03/21,21:31:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/03/28,14:02:57,"3/29（五）
鐵路大排 1 箱
6公斤裝鯖魚（100-130）中1箱"
Account,林鈺婷,2024/03/28,14:04:20,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/01,15:26:49,"4/2（二）
白帶魚3/4規格 1箱"
Account,俐均,2024/04/01,15:31:43,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/02,14:19:06,"4/3(三)
一.哈克魚1箱120/150
二.6公斤裝鯖魚（100-130）中1箱"
Account,俐均,2024/04/02,14:21:01,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/08,17:21:50,"4/9（二）
鐵路大排 1 箱
"
Account,俐均,2024/04/08,17:24:40,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/10,14:40:59,"4/11（四）
白花菜（散）2箱
煙燻豬頭皮 1包"
Account,俐均,2024/04/10,14:41:32,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/14,20:39:12,"4/15（一）
白帶魚3/4規格 1箱"
Account,自動回應訊息,2024/04/14,20:39:13,貼圖已傳送
Account,自動回應訊息,2024/04/14,20:39:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/15,14:28:51,"4/16（二）
6公斤裝鯖魚（100-130）中1箱"
Account,俐均,2024/04/15,14:33:11,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/16,18:06:19,"4/17（三）
6公斤裝鯖魚（100-130）中1箱"
Account,俐均,2024/04/17,08:29:35,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/18,14:28:59,"4/19（五）
鐵路大排 1 箱"
Account,俐均,2024/04/18,14:29:40,貼圖已傳送
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/27,11:50:13,"4/29（一）
鐵路大排 1 箱
6公斤裝鯖魚（100-130）中1箱"
Account,自動回應訊息,2024/04/27,11:50:13,貼圖已傳送
Account,自動回應訊息,2024/04/27,11:50:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鳳山/棒棒堂雞腿飯(11WRWZ000),2024/04/30,15:15:31,"5/2（四）
白帶魚3/4規格 1箱
哈克魚1箱120/150"
Account,俐均,2024/04/30,15:16:45,貼圖已傳送
