帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/07/08,14:30:16,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/07/08,14:30:16,"楊宏鈞歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,14:31:41,"我是楠梓區土庫的店家
想請問你們1、虱目魚柳條2、小卷（或者有魷魚圈）3、熟白蝦4、蝦仁41/50尺寸的
以上是否可以報價或者是有貨可以供應及送貨？
地址：楠梓土庫二路170號
店名：蓁愛咖喱
電話：3511680"
Account,俐均,2025/07/08,14:33:19,老闆您好
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,14:33:30,你好
Account,俐均,2025/07/08,14:52:32,"虱目魚柳條300g/包  68元
魷魚條600g/公斤      150元(無小卷及魷魚圈)
白蝦40/50/700g盒    230元
熟白蝦缺貨中"
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,15:13:47,請問有魷魚條的圖片可以參考嗎？
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,15:14:28,因為沒用過😅
Account,林鈺婷,2025/07/08,15:16:00,照片已傳送
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,15:20:35,請問每次叫貨有限定金額嗎？因為我們在高雄第一科技大學這，寒暑假期間沒什麼人
Account,俐均,2025/07/08,15:21:52,"只要訂超過5公斤就可以送貨
送貨路線是星期二與星期四"
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,15:22:02,我是看到對面早午餐店有你們的貨車🚚
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,15:22:13,好的謝謝
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,15:32:24,"星期四可以幫我送
虱目魚柳條10包
白蝦40/50各一盒（我先看看煮熟後大小再決定以後叫的尺寸）
魷魚條2包（試用）
這樣可以幫忙送嗎？"
Account,俐均,2025/07/08,15:33:48,好的
User,楠梓/蓁愛咖喱(59DX00000),2025/07/08,15:34:15,貼圖已傳送
Account,俐均,2025/07/08,15:36:07,貼圖已傳送
User,楠梓/蓁愛咖喱(59DX00000),2025/07/09,14:05:25,我確定要
Account,☆羅惠君☆,2025/07/09,14:23:07,貼圖已傳送
