帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,高樹/大高樹自助餐(2EGY5H000),2024/01/03,22:04:40,鱸魚，水針各一件
Account,自動回應訊息,2024/01/03,22:04:41,貼圖已傳送
Account,自動回應訊息,2024/01/03,22:04:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/01/04,08:40:58,"老闆您好
鱸魚片目前缺貨"
Account,俐均,2024/01/04,08:41:17,目前有烏魚切塊可以帶去給您參考
User,高樹/大高樹自助餐(2EGY5H000),2024/01/07,21:42:13,蝶魚，烏魚各一件
Account,自動回應訊息,2024/01/07,21:42:14,貼圖已傳送
Account,自動回應訊息,2024/01/07,21:42:14,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,高樹/大高樹自助餐(2EGY5H000),2024/01/10,15:54:23,哈克魚會瘦瘦長長嗎
Account,俐均,2024/01/10,15:57:22,"老闆您好
有跟廠商反應過了
我們請司機帶過去
若不喜歡再請司機帶回"
User,高樹/大高樹自助餐(2EGY5H000),2024/01/14,14:02:01,蝶魚，鱸魚各一件
Account,自動回應訊息,2024/01/14,14:02:02,貼圖已傳送
Account,自動回應訊息,2024/01/14,14:02:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,高樹/大高樹自助餐(2EGY5H000),2024/01/21,22:15:46,鱸魚，水針各一件
Account,自動回應訊息,2024/01/21,22:15:47,貼圖已傳送
Account,自動回應訊息,2024/01/21,22:15:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,高樹/大高樹自助餐(2EGY5H000),2024/01/24,14:02:19,鱸魚，蝶魚各一件
Account,林鈺婷,2024/01/24,14:03:23,貼圖已傳送
User,高樹/大高樹自助餐(2EGY5H000),2024/01/29,07:33:41,鱸魚，水針各一件
Account,自動回應訊息,2024/01/29,07:33:42,貼圖已傳送
Account,自動回應訊息,2024/01/29,07:33:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,高樹/大高樹自助餐(2EGY5H000),2024/01/31,19:13:56,"銀鮸魚（5-6),鱸魚片各一件"
Account,自動回應訊息,2024/01/31,19:13:56,貼圖已傳送
