帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,竹田/美美自助餐(AAY5H0000),2024/03/18,14:46:16,白花一箱
Account,俐均,2024/03/18,14:46:58,貼圖已傳送
Account,俐均,2024/03/18,14:50:52,"老闆娘您好
請問有急用嗎?"
Account,俐均,2024/03/18,14:51:11,星期四幫您送去好嗎?
User,竹田/美美自助餐(AAY5H0000),2024/03/18,14:51:50,好
User,竹田/美美自助餐(AAY5H0000),2024/03/21,08:26:26,白花一箱
Account,俐均,2024/03/21,08:27:56,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/03/24,18:21:28,花菜一箱
Account,自動回應訊息,2024/03/24,18:21:29,貼圖已傳送
Account,自動回應訊息,2024/03/24,18:21:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,竹田/美美自助餐(AAY5H0000),2024/04/24,20:39:38,青花兩箱
Account,自動回應訊息,2024/04/24,20:39:38,貼圖已傳送
Account,自動回應訊息,2024/04/24,20:39:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美美自助餐(AAY5H0000),2024/04/30,11:05:45,青花白花各一箱今天可以送嗎
Account,俐均,2024/04/30,11:06:43,"老闆娘您好
今天司機都已出門
星期四幫您送好嗎?"
User,竹田/美美自助餐(AAY5H0000),2024/05/02,09:07:59,花菜青白各一箱
User,竹田/美美自助餐(AAY5H0000),2024/05/02,09:09:08,盡量
Account,林鈺婷,2024/05/02,09:09:29,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/05/06,09:56:05,青花一箱
Account,林鈺婷,2024/05/06,10:00:52,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/05/16,07:22:12,青花，白花各一箱
Account,自動回應訊息,2024/05/16,07:22:12,貼圖已傳送
Account,自動回應訊息,2024/05/16,07:22:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美美自助餐(AAY5H0000),2024/05/16,08:53:34,今天訂的青花取銷
User,竹田/美美自助餐(AAY5H0000),2024/05/20,10:41:37,白花一箱
Account,林鈺婷,2024/05/20,10:43:11,老闆娘不好意思，今天司機都出門了 星期四幫您送過去方便嗎？
User,竹田/美美自助餐(AAY5H0000),2024/05/22,22:18:55,白花一箱
Account,自動回應訊息,2024/05/22,22:18:55,貼圖已傳送
Account,自動回應訊息,2024/05/22,22:18:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美美自助餐(AAY5H0000),2024/05/30,08:44:28,白花一箱
Account,林鈺婷,2024/05/30,08:46:11,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/06/03,10:09:51,花菜一箱
Account,林鈺婷,2024/06/03,10:38:41,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/06/06,10:49:31,白花一箱
Account,俐均,2024/06/06,10:52:17,貼圖已傳送
Account,俐均,2024/06/06,10:52:38,"老闆娘好
明天幫您送"
User,竹田/美美自助餐(AAY5H0000),2024/06/13,09:04:51,白花一箱
Account,林鈺婷,2024/06/13,09:05:02,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/06/19,22:02:15,白花一箱
Account,自動回應訊息,2024/06/19,22:02:16,貼圖已傳送
Account,自動回應訊息,2024/06/19,22:02:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美美自助餐(AAY5H0000),2024/06/24,09:47:24,花菜一箱
Account,林鈺婷,2024/06/24,09:58:29,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/06/26,17:18:49,白花一箱
Account,俐均,2024/06/26,17:18:55,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/07/04,12:01:47,今天可以幫我送一箱白花嗎沒有貨了
User,竹田/美美自助餐(AAY5H0000),2024/07/04,12:02:25,很忙忘記了對不起
Account,俐均,2024/07/04,12:02:45,"老闆娘您好
若要今天幫您送下午3~5點左右可以嗎?"
User,竹田/美美自助餐(AAY5H0000),2024/07/04,12:03:20,好
User,竹田/美美自助餐(AAY5H0000),2024/07/04,12:03:35,謝謝你們的配合
Account,俐均,2024/07/04,12:04:32,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/07/04,15:10:18,我出門3點半到家
Account,俐均,2024/07/04,15:24:35,貼圖已傳送
User,竹田/美美自助餐(AAY5H0000),2024/07/07,19:28:29,白花一箱
