帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/05,13:21:24,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/05/05,13:21:24,"鍾昀璋歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,高樹/家福便當(RZ1200000),2025/05/05,13:21:42,家福快餐
Account,林鈺婷,2025/05/05,14:01:33,老闆您好~
Account,林鈺婷,2025/05/05,14:02:12,"這是我們的DM給您作參考~
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
User,高樹/家福便當(RZ1200000),2025/05/07,13:38:29,"明天要：
黑魚一箱
密汁棒腿2包
紐奧良腿排一箱"
Account,俐均,2025/05/07,15:05:03,老闆好請問您說的黑魚是黑鯧嗎?
Account,俐均,2025/05/07,15:05:19,照片已傳送
Account,俐均,2025/05/07,15:06:44,請問紐奧良腿排要幫您送裹漿還是裹粉的呢?
User,高樹/家福便當(RZ1200000),2025/05/07,15:06:55,不是，我打錯字
User,高樹/家福便當(RZ1200000),2025/05/07,15:07:08,烏魚
Account,俐均,2025/05/07,15:08:08,請問烏魚切塊是幫您送有骨的嗎?5K/一箱700元
User,高樹/家福便當(RZ1200000),2025/05/07,15:10:05,哪種賣比較好？
User,高樹/家福便當(RZ1200000),2025/05/07,15:11:08,哪種賣較好
User,高樹/家福便當(RZ1200000),2025/05/07,15:11:47,有沒骨頭的嗎？
Account,俐均,2025/05/07,15:12:06,裹漿的
Account,俐均,2025/05/07,15:12:37,有少刺的一箱5K/900元
User,高樹/家福便當(RZ1200000),2025/05/07,15:15:07,裹漿的紐奧良腿排一箱
User,高樹/家福便當(RZ1200000),2025/05/07,15:15:50,烏魚一箱700元的
