帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/01,14:16:52,塩魚1，赤宗1
Account,俐均,2024/01/02,08:48:39,"老闆您好
赤宗目前缺貨"
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/04,14:18:15,。塩魚1，蝶魚1，金线魚1，白花1，青花1
Account,林鈺婷,2024/01/04,14:20:24,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/08,14:22:53,塩魚1，烏魚1，青花2
Account,林鈺婷,2024/01/08,14:23:22,貼圖已傳送
Account,俐均,2024/01/08,14:44:21,"老闆娘您好
烏魚3/4目前缺貨!
帶另一種的給您看
謝謝"
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/08,19:14:44,好
Account,自動回應訊息,2024/01/08,19:14:45,貼圖已傳送
Account,自動回應訊息,2024/01/08,19:14:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/11,14:35:45,塩魚2，金线魚1
Account,林鈺婷,2024/01/11,14:39:07,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/15,14:37:24,塩魚1，金线魚1
Account,林鈺婷,2024/01/15,14:37:30,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/18,14:30:36,蝶魚1，烏魚1
Account,林鈺婷,2024/01/18,14:30:56,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/22,14:18:18,塩魚1，金线魚1，烏魚1
Account,林鈺婷,2024/01/22,14:19:31,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/25,14:18:05,  ..塩魚1，金线魚1
Account,俐均,2024/01/25,14:18:27,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/29,16:11:42,"塩魚1，烏魚1，赤宗魚1,白花1"
Account,林鈺婷,2024/01/29,16:12:05,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/29,16:12:14,，青花1
Account,林鈺婷,2024/01/29,16:15:39,老闆您好~赤宗魚只有120/150的可以嗎?
User,枋寮/哈囉美食快餐(CXAG00000),2024/01/29,16:26:02,好
User,枋寮/哈囉美食快餐(CXAG00000),2024/02/01,14:20:43,塩魚2
Account,俐均,2024/02/01,14:21:00,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/02/05,16:23:42,塩魚2，金线魚1，白花2
Account,俐均,2024/02/05,16:23:53,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/02/15,14:17:42,白帶魚1，赤宗1
Account,林鈺婷,2024/02/15,14:21:49,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/02/19,14:15:03,塩魚1，金线魚1
Account,俐均,2024/02/19,14:16:14,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/02/22,14:23:06,塩魚1，赤宗1
Account,俐均,2024/02/22,14:29:24,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/02/26,14:14:21,"/肉魚1,加網1"
Account,俐均,2024/02/26,14:16:15,貼圖已傳送
Account,俐均,2024/02/26,14:18:34,"老闆您好
目前沒有加網"
User,枋寮/哈囉美食快餐(CXAG00000),2024/02/29,14:12:53,塩魚1，赤宗1，白口1，白花2
Account,俐均,2024/02/29,14:13:01,貼圖已傳送
Account,俐均,2024/02/29,14:17:13,"老闆您好
赤宗目前缺貨
改白帶魚好嗎?"
User,枋寮/哈囉美食快餐(CXAG00000),2024/02/29,19:16:06,改金线魚
Account,自動回應訊息,2024/02/29,19:16:07,貼圖已傳送
Account,自動回應訊息,2024/02/29,19:16:07,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/04,14:31:56,"塩魚1，肉魚1,赤宗1，虱目魚2"
Account,俐均,2024/03/04,14:32:19,貼圖已傳送
Account,俐均,2024/03/04,14:47:56,老闆您好
Account,俐均,2024/03/04,14:48:07,赤宗目前缺貨
Account,俐均,2024/03/04,14:48:37,改白口魚好嗎?
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/04,14:56:36,好
Account,俐均,2024/03/04,14:58:24,貼圖已傳送
Account,俐均,2024/03/04,14:58:25,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/07,14:29:23,金线1，塩魚1
Account,俐均,2024/03/07,14:33:09,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/11,14:46:23,塩魚1，金线1，肉魚1(大1号的)青花2
Account,林鈺婷,2024/03/11,14:46:55,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/14,14:21:39,塩魚1，白口1青花2
Account,俐均,2024/03/14,14:22:05,貼圖已傳送
Account,俐均,2024/03/14,14:22:52,"老闆您好
青花目前缺貨
下星期到貨
謝謝"
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/18,14:21:41,塩魚1，肉魚1，白花1，青花1
Account,俐均,2024/03/18,14:21:54,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/21,14:13:20,塩魚2，白口1，肉魚1，青花2
Account,俐均,2024/03/21,14:14:00,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/25,20:39:33,塩魚1，肉魚1，白口1，白花2，
Account,自動回應訊息,2024/03/25,20:39:34,貼圖已傳送
Account,自動回應訊息,2024/03/25,20:39:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/25,20:40:54,青花要退給你，這批爛爛的
Account,自動回應訊息,2024/03/25,20:40:54,貼圖已傳送
Account,自動回應訊息,2024/03/25,20:40:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,王振華,2024/03/25,23:37:33,老闆好，因為我們的青花要星期三才到貨，臨時調別家的青花。明天在請司機收回
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/26,17:31:15,要退的青花還有1箱沒拿到
Account,林鈺婷,2024/03/26,17:34:18,老闆您好~請問總共是要退多少呢?
Account,林鈺婷,2024/03/26,17:34:31,司機今天帶1箱又5包回來
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/26,20:24:08,還有1箱
Account,自動回應訊息,2024/03/26,20:24:08,貼圖已傳送
Account,自動回應訊息,2024/03/26,20:24:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/26,20:25:58,l總共2箱又5包
Account,自動回應訊息,2024/03/26,20:25:59,貼圖已傳送
Account,自動回應訊息,2024/03/26,20:25:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,俐均,2024/03/27,08:34:31,"老闆不好意思
我們星期五去收好嗎?"
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/27,14:35:28,好
Account,俐均,2024/03/27,14:36:19,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/03/28,14:09:35,塩魚1，金线1，肉魚1
Account,俐均,2024/03/28,14:10:00,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/04/01,21:12:44,塩魚1，白口1，肉魚1，金线1
Account,自動回應訊息,2024/04/01,21:12:44,貼圖已傳送
Account,自動回應訊息,2024/04/01,21:12:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/04/02,00:40:59,老闆好，我們新的一批青花菜已到貨了，請問有需要嗎？
User,枋寮/哈囉美食快餐(CXAG00000),2024/04/08,14:32:26,塩魚1，肉魚1，青花2
Account,林鈺婷,2024/04/08,14:33:38,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/04/11,14:19:59,塩魚1，白口1，金线1，青花2
Account,俐均,2024/04/11,14:20:04,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/04/15,14:03:29,塩魚2，金线1，白口1
Account,俐均,2024/04/15,14:03:32,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/04/18,14:05:46,"塩魚1,肉魚1"
Account,俐均,2024/04/18,14:06:10,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/04/22,14:15:53,塩魚1，白口1，金线1
Account,林鈺婷,2024/04/22,14:17:37,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/04/25,20:04:03,塩魚1，肉魚1
Account,自動回應訊息,2024/04/25,20:04:04,貼圖已傳送
Account,自動回應訊息,2024/04/25,20:04:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/04/29,14:37:41,塩魚1，金线1，白口1，青花2
Account,俐均,2024/04/29,14:38:09,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/02,14:03:02,塩魚2，肉魚1
Account,俐均,2024/05/02,14:03:23,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/06,14:29:42,塩魚1，金线1，白口1
Account,林鈺婷,2024/05/06,14:31:05,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/06,18:13:07,白花2
Account,自動回應訊息,2024/05/06,18:13:08,貼圖已傳送
Account,自動回應訊息,2024/05/06,18:13:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/09,14:14:52,塩魚1，金线1，，肉魚1，
Account,俐均,2024/05/09,14:16:15,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/13,14:08:06,塩魚1金线1.白口1
Account,俐均,2024/05/13,14:14:39,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/16,14:07:45,塩魚1.金线1.肉魚1.白花1.青花1
Account,俐均,2024/05/16,14:08:28,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/20,14:07:22,塩魚1.肉魚1.青花2
Account,俐均,2024/05/20,14:07:26,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/23,14:10:01,塩魚1.肉魚1
Account,俐均,2024/05/23,14:36:14,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/27,14:18:38,塩魚1，肉魚1，赤章1
Account,俐均,2024/05/27,14:22:13,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/05/30,14:11:13,塩魚1，金线1
Account,俐均,2024/05/30,14:13:41,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/03,14:36:55,塩魚1，肉魚1，白花2
Account,林鈺婷,2024/06/03,14:37:21,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/06,14:07:44,塩魚1，金线1，青花2
Account,林鈺婷,2024/06/06,14:09:21,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/10,14:12:05,塩魚1，赤章1(比前送的小1号，太大了
Account,俐均,2024/06/10,17:34:24,貼圖已傳送
Account,林鈺婷,2024/06/11,10:19:16,老闆不好意思 小一號的赤宗目前還沒到貨 先送原本的給您方便嗎
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/13,14:31:17,塩魚1，金线1，肉魚1
Account,俐均,2024/06/13,15:26:17,貼圖已傳送
Account,林鈺婷,2024/06/13,17:19:10,老闆小一號的赤宗有到貨了，請問有需要嗎?
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/13,18:14:49,赤宗1
Account,自動回應訊息,2024/06/13,18:14:49,貼圖已傳送
Account,自動回應訊息,2024/06/13,18:14:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/13,21:40:33,青花2
Account,自動回應訊息,2024/06/13,21:40:33,貼圖已傳送
Account,自動回應訊息,2024/06/13,21:40:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/06/14,09:10:02,"老闆不好意思~我們原本的肉魚缺貨中
目前新廠商的肉魚
120/150 一箱10公斤1250元
150/180 一箱10公斤1800元"
Account,林鈺婷,2024/06/14,09:14:38,"老闆不好意思~我們原本的肉魚缺貨中
目前新廠商的肉魚
120/150 一箱10公斤1350元
150/180 一箱10公斤1800元"
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/17,19:45:41,塩魚1，赤章1
Account,自動回應訊息,2024/06/17,19:45:41,貼圖已傳送
Account,自動回應訊息,2024/06/17,19:45:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/20,14:41:52,塩魚2，白花2
Account,俐均,2024/06/20,14:45:22,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/24,14:24:50,塩魚1，金线1
Account,俐均,2024/06/24,14:24:53,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/06/27,14:43:34,塩魚1
Account,俐均,2024/06/27,14:48:34,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/01,19:17:39,鹹魚1，赤章1，青花1，白花1
Account,自動回應訊息,2024/07/01,19:17:40,貼圖已傳送
Account,自動回應訊息,2024/07/01,19:17:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/01,19:34:20,金線1
Account,自動回應訊息,2024/07/01,19:34:20,貼圖已傳送
Account,自動回應訊息,2024/07/01,19:34:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/04,15:21:28,鹽魚1，青花1，日花1
Account,俐均,2024/07/04,15:23:44,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/08,15:12:14,塩魚1，金線1
Account,俐均,2024/07/08,15:25:59,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/08,19:09:54,青花2
Account,自動回應訊息,2024/07/08,19:09:55,貼圖已傳送
Account,自動回應訊息,2024/07/08,19:09:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/11,14:25:02,塩魚1
Account,俐均,2024/07/11,14:25:37,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/15,14:13:29,塩魚1，金線1
Account,俐均,2024/07/15,14:15:21,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/18,18:20:13,塩魚1、青花2
Account,自動回應訊息,2024/07/18,18:20:14,貼圖已傳送
Account,自動回應訊息,2024/07/18,18:20:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/22,14:52:23,塩魚1，金線1，青花3，白花
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/22,14:54:59,1
Account,林鈺婷,2024/07/22,15:29:40,貼圖已傳送
User,枋寮/哈囉美食快餐(CXAG00000),2024/07/29,13:40:59,塩魚1，金線1，青花3，白花1
Account,俐均,2024/07/29,14:24:09,貼圖已傳送
